Region_name,year,gvaperhead_pounds_cp,gvaper16to64_pounds_cp,UK_gvaper16plus_employed_pounds_cp.x,perhourworked_pounds_cp,perfilledjob_pounds_cp,UK_gvaperhead_pounds_cp,UK_gvaper16to64_pounds_cp,UK_gvaper16plus_employed_pounds_cp.y,UK_perhourworked_pounds_cp,UK_perfilledjob_pounds_cp
Cumbria,2018,21046.576649343308,36036.37611530542,43482.4016563147,26.157581200370778,40614.65391874749,26231.350325760013,42181.43868044596,54089.919984083856,32.205079431598854,51836.27953578208
Cumbria,2019,22262.91190794337,38413.411683373655,46634.49433487201,27.038293678661532,42062.99039738985,27185.85308998597,43859.667799808856,55687.74787339602,33.11003177899806,53419.47755093092
Cumbria,2020,20401.69408894569,35407.38161559888,44155.44941380808,27.428177231608178,39060.75947422197,25710.957804416477,41513.91359839109,53079.17924816957,35.417550106745225,51079.95116066004
Cumbria,2021,21870.11337469969,38451.54494382023,48136.26373626373,28.06202885593494,43744.856953399,27713.928444584104,44915.55127960298,57752.953572727354,35.479895695870844,55348.990445709984
Cumbria,2022,23700.234378261466,41714.48565430371,51299.48364888124,30.568354476402444,47438.662390475656,30266.828740676687,49282.05980546603,62603.08008653373,37.61140573936473,60029.40492394721
Derbyshire and Nottinghamshire,1998,11178.3898641973,NA,NA,NA,NA,13607.332631346044,NA,NA,NA,NA
Derbyshire and Nottinghamshire,1999,11563.393910714341,NA,NA,NA,NA,14075.574087142402,NA,NA,NA,NA
Derbyshire and Nottinghamshire,2000,11751.786898235741,NA,NA,NA,NA,14827.107228170195,NA,NA,NA,NA
Derbyshire and Nottinghamshire,2001,12250.41117052762,NA,NA,NA,NA,15462.70283350117,NA,NA,NA,NA
Derbyshire and Nottinghamshire,2002,12804.689137119763,NA,NA,NA,28613.80659298311,16085.79314272791,NA,NA,NA,32821.521292139805
Derbyshire and Nottinghamshire,2003,13236.394654421782,NA,NA,NA,29713.39093476498,16975.748910963528,NA,NA,NA,34503.31916247595
Derbyshire and Nottinghamshire,2004,14016.899267084736,NA,NA,19.737532932486957,31325.868894126703,17767.73198574741,NA,NA,22.561479590899523,35976.39325091452
Derbyshire and Nottinghamshire,2005,14947.209297296873,NA,NA,20.272059233044182,32162.484257143373,18747.154185116528,NA,NA,23.473453004197914,37861.87642803951
Derbyshire and Nottinghamshire,2006,15361.520162148021,NA,NA,21.263171751448763,33209.86009890544,19595.190402967157,NA,NA,24.54228814223982,39471.71336164966
Derbyshire and Nottinghamshire,2007,15912.412664366087,NA,NA,21.451835465098664,34134.13684955147,20432.22276265583,NA,NA,25.555995521379348,41102.917767984785
Derbyshire and Nottinghamshire,2008,16277.632820391922,NA,NA,23.24502015697987,35525.89265474176,20962.55142762884,NA,NA,26.557821340275854,42141.09996457308
Derbyshire and Nottinghamshire,2009,15882.220227437463,NA,NA,23.168896157878546,35615.78953034005,20604.802217573437,NA,NA,26.807527509641222,42346.46273439319
Derbyshire and Nottinghamshire,2010,16574.20649538859,NA,NA,23.731327166355268,36803.48616707866,21141.849922982125,NA,NA,27.849343275007108,43734.212343589374
Derbyshire and Nottinghamshire,2011,17036.230421271404,NA,NA,24.351332507326095,37495.38503897426,21479.1006641448,NA,NA,28.15774528288979,44541.19172561712
Derbyshire and Nottinghamshire,2012,17492.82680970152,27503.149781368116,37983.62333674514,24.726735655862733,38488.783698428815,21935.828525679986,34514.51911228328,47438.515270206975,28.388649775848908,45337.79701816649
Derbyshire and Nottinghamshire,2013,18121.010652022364,28614.71220090377,39520.15551463065,25.413775637780304,40055.25005107104,22662.087606781082,35868.7434924426,48654.34817531929,29.00897604873566,46617.10133970939
Derbyshire and Nottinghamshire,2014,18452.82793300681,29217.687074829933,39407.59948140022,25.794242685343157,40335.9251467146,23422.750928047484,37241.41917804175,49676.04016275102,29.392842214708704,47381.64954804678
Derbyshire and Nottinghamshire,2015,18852.054267134237,29876.206617051066,39299.214888048846,25.36219104169205,40449.498733490225,23847.432192466098,38006.59434267083,49825.303969168264,29.943344126859305,47824.88088526348
Derbyshire and Nottinghamshire,2016,19197.768751902524,30476.644423260248,39260.34385036841,26.624799855957917,41312.42314990701,24498.521343339264,39165.73502368687,51047.224797145434,30.285629115458256,48909.39436814167
Derbyshire and Nottinghamshire,2017,19689.465276976996,31294.633077765608,41488.86737657309,26.668455830622975,42621.5357198264,25586.866310837133,41031.150763279955,52876.237949270304,31.52572569382225,50887.3379283595
Derbyshire and Nottinghamshire,2018,20350.412757450285,32570.09003733255,42508.83729817521,27.74015048032232,43680.23718131216,26231.350325760013,42181.43868044596,54089.919984083856,32.205079431598854,51836.27953578208
Derbyshire and Nottinghamshire,2019,21082.901965143687,33891.899809579605,42947.56380510441,28.48973206686308,45094.74320182811,27185.85308998597,43859.667799808856,55687.74787339602,33.11003177899806,53419.47755093092
Derbyshire and Nottinghamshire,2020,21045.859170104995,33885.71428571428,43747.28080960938,32.317135333553885,45985.033538831376,25710.957804416477,41513.91359839109,53079.17924816957,35.417550106745225,51079.95116066004
Derbyshire and Nottinghamshire,2021,22178.41457660339,35790.74535071021,46751.14766641163,32.08143202135469,48767.95639087393,27713.928444584104,44915.55127960298,57752.953572727354,35.479895695870844,55348.990445709984
Derbyshire and Nottinghamshire,2022,23174.126761150685,37723.523830377344,48907.07797123391,30.46612684827885,49755.43449485503,30266.828740676687,49282.05980546603,62603.08008653373,37.61140573936473,60029.40492394721
Devon,1998,9993.660384224306,NA,NA,NA,NA,13607.332631346044,NA,NA,NA,NA
Devon,1999,10508.371339159688,NA,NA,NA,NA,14075.574087142402,NA,NA,NA,NA
Devon,2000,10686.39002429319,NA,NA,NA,NA,14827.107228170195,NA,NA,NA,NA
Devon,2001,11142.726293954316,NA,NA,NA,NA,15462.70283350117,NA,NA,NA,NA
Devon,2002,11719.179214246207,NA,NA,NA,24944.03707408725,16085.79314272791,NA,NA,NA,32821.521292139805
Devon,2003,12412.244886711744,NA,NA,NA,26602.174161262763,16975.748910963528,NA,NA,NA,34503.31916247595
Devon,2004,13464.547438301572,NA,NA,18.44659558036238,27911.212767850888,17767.73198574741,NA,NA,22.561479590899523,35976.39325091452
Devon,2005,13869.36200934757,NA,NA,18.634458063841347,29036.950608772077,18747.154185116528,NA,NA,23.473453004197914,37861.87642803951
